Nome,url,Data Criacao,Data de Atualizacao,Total de releases,Linguagem,Idade,Tempo de Atualizacao em dias
divio/django-cms,https://github.com/divio/django-cms,2020-04-01,2020-04-01T13:25:00Z,0,Python,11,0
facebookresearch/maskrcnn-benchmark,https://github.com/facebookresearch/maskrcnn-benchmark,2020-04-01,2020-04-01T13:19:44Z,1,Python,1,0
clips/pattern,https://github.com/clips/pattern,2020-04-01,2020-04-01T18:17:04Z,0,Python,8,0
pytorch/fairseq,https://github.com/pytorch/fairseq,2020-04-02,2020-04-02T00:55:13Z,10,Python,2,1
ranger/ranger,https://github.com/ranger/ranger,2020-04-02,2020-04-02T01:33:05Z,0,Python,10,1
NVIDIA/vid2vid,https://github.com/NVIDIA/vid2vid,2020-04-02,2020-04-02T01:52:53Z,0,Python,1,1
sfyc23/EverydayWechat,https://github.com/sfyc23/EverydayWechat,2020-04-02,2020-04-02T02:00:56Z,0,Python,1,1
apprenticeharper/DeDRM_tools,https://github.com/apprenticeharper/DeDRM_tools,2020-04-02,2020-04-02T01:34:22Z,76,Python,5,1
openai/universe,https://github.com/openai/universe,2020-03-31,2020-03-31T19:33:49Z,2,Python,3,1
python-pillow/Pillow,https://github.com/python-pillow/Pillow,2020-04-01,2020-04-01T20:28:04Z,29,Python,7,0
facebookresearch/visdom,https://github.com/facebookresearch/visdom,2020-04-02,2020-04-02T01:58:18Z,2,Python,3,1
dbader/schedule,https://github.com/dbader/schedule,2020-04-01,2020-04-01T13:25:40Z,0,Python,6,0
hanxiao/bert-as-service,https://github.com/hanxiao/bert-as-service,2020-04-02,2020-04-02T02:42:23Z,10,Python,1,1
sylnsfar/qrcode,https://github.com/sylnsfar/qrcode,2020-04-01,2020-04-01T21:37:13Z,0,Python,3,0
samshadwell/TrumpScript,https://github.com/samshadwell/TrumpScript,2020-04-01,2020-04-01T13:29:57Z,0,Python,4,0
rusty1s/pytorch_geometric,https://github.com/rusty1s/pytorch_geometric,2020-04-02,2020-04-02T02:42:10Z,18,Python,2,1
mirumee/saleor,https://github.com/mirumee/saleor,2020-04-02,2020-04-02T02:24:11Z,30,Python,7,1
networkx/networkx,https://github.com/networkx/networkx,2020-04-01,2020-04-01T14:10:34Z,24,Python,9,0
programthink/zhao,https://github.com/programthink/zhao,2020-04-01,2020-04-01T21:46:52Z,0,Python,4,0
docopt/docopt,https://github.com/docopt/docopt,2020-04-01,2020-04-01T16:20:21Z,0,Python,7,0
mwaskom/seaborn,https://github.com/mwaskom/seaborn,2020-04-02,2020-04-02T00:42:19Z,17,Python,7,1
scipy/scipy,https://github.com/scipy/scipy,2020-04-02,2020-04-02T00:44:22Z,40,Python,9,1
pallets/jinja,https://github.com/pallets/jinja,2020-04-01,2020-04-01T22:13:19Z,6,Python,9,0
shengqiangzhang/examples-of-web-crawlers,https://github.com/shengqiangzhang/examples-of-web-crawlers,2020-04-02,2020-04-02T02:25:50Z,0,Python,1,1
pwxcoo/chinese-xinhua,https://github.com/pwxcoo/chinese-xinhua,2020-04-02,2020-04-02T01:57:53Z,0,Python,2,1
sloria/TextBlob,https://github.com/sloria/TextBlob,2020-04-01,2020-04-01T18:05:27Z,3,Python,6,0
EpistasisLab/tpot,https://github.com/EpistasisLab/tpot,2020-04-01,2020-04-01T14:46:39Z,17,Python,4,0
Embedding/Chinese-Word-Vectors,https://github.com/Embedding/Chinese-Word-Vectors,2020-04-02,2020-04-02T02:09:06Z,0,Python,2,1
amueller/word_cloud,https://github.com/amueller/word_cloud,2020-04-01,2020-04-01T20:53:21Z,2,Python,7,0
rq/rq,https://github.com/rq/rq,2020-04-01,2020-04-01T16:27:50Z,4,Python,8,0
awslabs/serverless-application-model,https://github.com/awslabs/serverless-application-model,2020-04-02,2020-04-02T01:40:54Z,28,Python,3,1
sympy/sympy,https://github.com/sympy/sympy,2020-04-02,2020-04-02T00:01:23Z,25,Python,9,1
keras-team/autokeras,https://github.com/keras-team/autokeras,2020-04-01,2020-04-01T16:12:14Z,36,Python,2,0
wangshub/Douyin-Bot,https://github.com/wangshub/Douyin-Bot,2020-04-01,2020-04-01T17:10:44Z,0,Python,1,0
donnemartin/gitsome,https://github.com/donnemartin/gitsome,2020-04-01,2020-04-01T00:27:26Z,5,Python,3,0
deepmind/pysc2,https://github.com/deepmind/pysc2,2020-04-02,2020-04-02T02:50:05Z,5,Python,2,1
Yorko/mlcourse.ai,https://github.com/Yorko/mlcourse.ai,2020-04-01,2020-04-01T20:33:28Z,0,Python,3,0
bottlepy/bottle,https://github.com/bottlepy/bottle,2020-04-01,2020-04-01T22:09:09Z,0,Python,10,0
MagicStack/uvloop,https://github.com/MagicStack/uvloop,2020-04-01,2020-04-01T13:29:40Z,56,Python,4,0
seatgeek/fuzzywuzzy,https://github.com/seatgeek/fuzzywuzzy,2020-04-01,2020-04-01T22:01:29Z,23,Python,8,0
